name,tier,effect,mechanism
AFK,Silver,3라운드간 행동 불가 이후 골드 20 획득,제약형
Augmented Power,Silver,다음 증강체가 한 등급 위,메타
Backup Bows,Silver,롱보우 획득 팀 공격 1000회 후 2개 추가,아이템지급
Band of Thieves,Silver,도적의 장갑 1개 획득,아이템지급
Best Friends I,Silver,짝지은 아군이 공격속도와 방어력 획득,위치
Bodyguard Training,Silver,아군이 방어력과 마법저항 획득 레벨당 추가,팀스탯
Boxing Lessons,Silver,앞열 아군 수만큼 팀 체력 획득,위치
Branching Out,Silver,랜덤 상징 획득,아이템지급
Called Shot,Silver,연승 설정 및 골드 획득,골드
Capital Gains I,Silver,이자 골드를 저장해 스테이지 종료 시 획득,골드
Caretaker's Ally,Silver,2코스트 챔피언 획득 레벨업마다 같은 챔피언 획득,유닛지급
Carve a Path,Silver,BF대검 획득 물리피해 65000 후 2개 추가,아이템지급
Celestial Blessing I,Silver,팀이 옴니뱀프 획득 초과 회복은 보호막으로,팀스탯
Champ Delivery,Silver,저코스트 챔피언 획득 라운드마다 추가,유닛지급
Charge Transfer I,Silver,팀 피해증폭 5% 오버킬이 마법피해로,팀스탯
Cognitive Tax,Silver,골드 8과 경험치 1 획득,골드
Component Buffet,Silver,조합법 대신 조합법 모루 획득,아이템지급
Continuous Conjuration,Silver,쓸데없이 큰 지팡이 획득 마법피해 38000 후 2개 추가,아이템지급
Corrosion,Silver,적 앞열 챔피언이 2초마다 방어력과 마법저항 4 상실,적디버프
Crafted Crafting,Silver,아이템 조합 완성마다 리롤 2회 획득,상점
Critical Success,Silver,연습용 장갑 획득 치명타 320회 후 2개 추가,아이템지급
Electrocharge I,Silver,4회 공격마다 근처 적에게 마법피해,시간발동
Exiles I,Silver,고립된 챔피언이 최대체력 20% 보호막 획득,위치
Expedition,Silver,대기석 챔피언을 잃고 보상 획득,자원교환
Feeling Lucky,Silver,골드 12 획득 동전 던져 4 추가,확률
Find Your Center,Silver,앞열 중앙 챔피언이 피해증폭과 최대체력 획득,위치
Firesale,Silver,매 라운드 상점에서 저코스트 챔피언 훔침,상점
Flame On,Silver,가장 딜한 인페르노 챔피언이 공격속도 획득,조건부스탯
Flexible,Silver,랜덤 상징 획득 스테이지 시작마다 추가,아이템지급
Flowing Tears,Silver,여신의 눈물 획득 마나 6500 소모 후 2개 추가,아이템지급
Focused Fire,Silver,팀 공격력 5% 5초마다 5% 증가,시간발동
Future Focused,Silver,체력을 잃고 4코스트 챔피언과 골드 획득,자원교환
Good For Something I,Silver,아이템 없는 챔피언 사망 시 50% 확률로 골드 드랍,골드
Group Hug I,Silver,아군이 인접 아군에게 방어력과 마법저항 부여,위치
Healing Orbs I,Silver,적 사망 시 가장 가까운 아군 회복,시간발동
Iron Assets,Silver,조합법 모루와 골드 3 획득,아이템지급
Item Grab Bag,Silver,랜덤 완성 아이템 1개 획득,아이템지급
Kick Start,Silver,랜덤 2성 2코스트 챔피언과 골드 1 획득,유닛지급
Kingslayer,Silver,승리 후 골드 획득 상대 체력 높을수록 많이,골드
Late Game Specialist,Silver,레벨 9 도달 시 골드 36 획득,골드
Latent Forge,Silver,플레이어 전투 8회 후 신물 모루 획득,아이템지급
Lineup,Silver,앞열 아군 수만큼 팀 방어력과 마법저항,위치
Loaded Dice,Silver,주사위는 항상 6 동전은 항상 앞면,규칙변경
Lunch Money,Silver,적 소환사에게 준 피해 7당 골드 2,골드
Makeshift Armor I,Silver,아이템 없는 챔피언이 방어력과 마법저항 30 획득,조건부스탯
Missed Connections,Silver,각 1코스트 챔피언의 사본 획득,유닛지급
On a Roll,Silver,배치된 챔피언 성급 상승 시 리롤 2회,상점
One Two Three,Silver,1·2·3코스트 챔피언 1기씩 획득,유닛지급
One Two Five,Silver,조합법 1개 골드 2 5코스트 챔피언 1기 획득,유닛지급
Pandora's Bench,Silver,오른쪽 대기석 슬롯이 같은 코스트 랜덤 챔피언으로 변환,규칙변경
Pandora's Items I,Silver,대기 아이템이 라운드 시작마다 무작위화,규칙변경
Partial Ascension,Silver,12초 후 팀 피해증폭 20%,시간발동
Patience is a Virtue,Silver,지난 라운드에 챔피언을 사지 않았으면 리롤 2회,상점
Quick Streaks,Silver,연승·연패 진행이 2배,규칙변경
Residual Magic,Silver,팀 체력 획득 위습 구매마다 증가,성장
Risky Moves,Silver,체력 20 상실 전투 7회 후 골드 30,자원교환
Rolling For Days,Silver,무료 상점 리롤 획득,상점
Second Wind,Silver,10초 후 팀이 잃은 체력의 40% 회복,시간발동
Shieldmaiden,Silver,레오나 획득 강화된 공격형 전사가 됨,유닛지급
